event,station,SW_max_amp
20141226194105,DR14,7.53E-10
20141226194120,DR14,2.46E-10
20141226194140,DR14,2.59E-10
20141226194223,DR14,1.96E-10
20141226194326,DR14,2.48E-10
20141226194428,DR14,4.99E-10
20141226194446,DR14,2.23E-10
20141226194505,DR14,1.61E-10
20141226194549,DR14,2.66E-10
20141226194702,DR14,4.62E-10
20141226194723,DR14,2.03E-10
20141226194739,DR14,6.05E-10
20141226194821,DR14,7.20E-09
20141226215547,DR14,5.63E-10
20141226230906,DR14,1.94E-10
20141227021354,DR14,1.75E-10
20141227030431,DR14,1.49E-10
20141227031523,DR14,4.02E-10
20141227063425,DR14,3.75E-10
20141227064051,DR14,2.09E-09
20141227080057,DR14,4.78E-10
20141227080911,DR14,2.97E-10
20141227120626,DR14,1.79E-10
20141227155102,DR14,2.23E-09
20141227163450,DR14,4.82E-10
20141227163814,DR14,1.32E-10
20141227164412,DR14,3.97E-10
20141227171646,DR14,3.92E-10
20141227190151,DR14,1.67E-10
20141227200029,DR14,1.98E-09
20141227224845,DR14,4.29E-10
20141228001901,DR14,2.23E-10
20141228003148,DR14,1.23E-09
20141228004809,DR14,2.65E-10
20141228035650,DR14,1.70E-10
20141228061308,DR14,1.86E-10
20141228095141,DR14,5.39E-10
20141228095825,DR14,6.02E-10
20141228131005,DR14,6.12E-10
20141228131011,DR14,1.54E-09
20141228144025,DR14,2.09E-10
20141228152308,DR14,1.42E-10
20141228185915,DR14,2.48E-10
20141228203212,DR14,7.71E-10
20141228210722,DR14,2.63E-10
20141228233224,DR14,5.72E-10
20141228234306,DR14,1.81E-10
20141229000130,DR14,1.10E-09
20141229004638,DR14,1.89E-10
20141229011014,DR14,2.25E-10
20141229015806,DR14,6.30E-10
20141229083759,DR14,8.17E-10
20141229083801,DR14,8.17E-10
20141229104155,DR14,2.83E-10
20141229121840,DR14,1.61E-10
20141229154806,DR14,2.99E-10
20141229164949,DR14,2.49E-10
20141229173931,DR14,3.88E-10
20141229203638,DR14,1.48E-10
20141229215707,DR14,1.47E-10
20141229230953,DR14,1.43E-10
20141229231959,DR14,1.71E-10
20141230035810,DR14,2.03E-10
20141230035853,DR14,2.64E-10
20141230061347,DR14,2.89E-10
20141230061706,DR14,2.31E-10
20141230091502,DR14,1.40E-10
20141230101844,DR14,1.86E-10
20141230102124,DR14,1.22E-10
20141230103251,DR14,8.21E-09
20141230121355,DR14,2.99E-10
20141230124231,DR14,1.82E-09
20141230124446,DR14,4.10E-10
20141230142852,DR14,2.37E-10
20141230152500,DR14,1.78E-09
20141230153310,DR14,3.90E-10
20141230153906,DR14,2.40E-10
20141230162142,DR14,9.07E-09
20141230163047,DR14,1.18E-10
20141230163955,DR14,1.21E-10
20141230170906,DR14,2.12E-10
20141230180500,DR14,5.97E-10
20141230200427,DR14,1.87E-10
20141230203658,DR14,3.29E-10
